,RdeltaB,Bpre,Bpost,itemideology,itemnum,partideology,ide_ms,ide_abs,partnum
298,100,0,100,2,2,0.0,1.0,100.0,37
299,48,52,100,2,3,0.0,1.0,100.0,37
300,43,57,100,3,4,0.0,1.0,100.0,37
301,100,0,100,3,5,0.0,1.0,100.0,37
302,37,63,100,3,6,0.0,1.0,100.0,37
303,70,30,100,3,7,0.0,1.0,100.0,37
304,0,100,100,1,0,0.0,1.0,100.0,38
305,0,100,100,1,1,0.0,1.0,100.0,38
306,0,0,0,2,2,0.0,1.0,100.0,38
307,0,0,0,2,3,0.0,1.0,100.0,38
308,0,50,50,3,4,0.0,1.0,100.0,38
309,0,100,100,3,5,0.0,1.0,100.0,38
310,0,0,0,3,6,0.0,1.0,100.0,38
311,0,100,100,3,7,0.0,1.0,100.0,38
312,0,0,0,1,0,0.0,1.0,100.0,39
313,-1,100,99,1,1,0.0,1.0,100.0,39
314,31,4,35,2,2,0.0,1.0,100.0,39
315,11,4,15,2,3,0.0,1.0,100.0,39
316,-1,36,35,3,4,0.0,1.0,100.0,39
317,98,2,100,3,5,0.0,1.0,100.0,39
318,56,24,80,3,6,0.0,1.0,100.0,39
319,-7,12,5,3,7,0.0,1.0,100.0,39
320,50,50,100,1,0,0.0,1.0,100.0,40
321,86,14,100,1,1,0.0,1.0,100.0,40
322,-26,29,3,2,2,0.0,1.0,100.0,40
323,11,89,100,2,3,0.0,1.0,100.0,40
324,15,85,100,3,4,0.0,1.0,100.0,40
325,75,25,100,3,5,0.0,1.0,100.0,40
326,57,43,100,3,6,0.0,1.0,100.0,40
327,94,6,100,3,7,0.0,1.0,100.0,40
328,-96,100,4,1,0,0.0,1.0,100.0,41
329,-23,100,77,1,1,0.0,1.0,100.0,41
330,-20,100,80,2,2,0.0,1.0,100.0,41
331,-2,100,98,2,3,0.0,1.0,100.0,41
332,-38,100,62,3,4,0.0,1.0,100.0,41
333,-97,100,3,3,5,0.0,1.0,100.0,41
334,0,100,100,3,6,0.0,1.0,100.0,41
335,-98,100,2,3,7,0.0,1.0,100.0,41
336,2,98,100,1,0,0.0,1.0,100.0,42
337,0,100,100,1,1,0.0,1.0,100.0,42
338,26,25,51,2,2,0.0,1.0,100.0,42
339,4,76,80,2,3,0.0,1.0,100.0,42
340,11,38,49,3,4,0.0,1.0,100.0,42
341,33,43,76,3,5,0.0,1.0,100.0,42
342,13,24,37,3,6,0.0,1.0,100.0,42
343,27,24,51,3,7,0.0,1.0,100.0,42
344,0,50,50,1,0,0.0,1.0,100.0,43
345,-26,50,24,1,1,0.0,1.0,100.0,43
346,-50,50,0,2,2,0.0,1.0,100.0,43
347,-38,38,0,2,3,0.0,1.0,100.0,43
348,0,50,50,3,4,0.0,1.0,100.0,43
349,14,36,50,3,5,0.0,1.0,100.0,43
350,0,50,50,3,6,0.0,1.0,100.0,43
351,50,0,50,3,7,0.0,1.0,100.0,43
352,46,54,100,1,0,0.0,1.0,100.0,44
353,0,100,100,1,1,0.0,1.0,100.0,44
354,-8,8,0,2,2,0.0,1.0,100.0,44
355,-39,39,0,2,3,0.0,1.0,100.0,44
356,16,20,36,3,4,0.0,1.0,100.0,44
357,62,38,100,3,5,0.0,1.0,100.0,44
358,77,23,100,3,6,0.0,1.0,100.0,44
359,-46,46,0,3,7,0.0,1.0,100.0,44
360,0,0,0,1,0,0.0,1.0,100.0,45
361,0,0,0,1,1,0.0,1.0,100.0,45
362,0,0,0,2,2,0.0,1.0,100.0,45
363,0,0,0,2,3,0.0,1.0,100.0,45
364,0,0,0,3,4,0.0,1.0,100.0,45
365,0,50,50,3,5,0.0,1.0,100.0,45
366,0,0,0,3,6,0.0,1.0,100.0,45
367,0,0,0,3,7,0.0,1.0,100.0,45
368,20,80,100,1,0,0.0,1.0,100.0,46
369,0,100,100,1,1,0.0,1.0,100.0,46
370,4,0,4,2,2,0.0,1.0,100.0,46
371,5,0,5,2,3,0.0,1.0,100.0,46
372,27,23,50,3,4,0.0,1.0,100.0,46
373,63,0,63,3,5,0.0,1.0,100.0,46
374,16,68,84,3,6,0.0,1.0,100.0,46
375,50,50,100,3,7,0.0,1.0,100.0,46
376,-1,1,0,1,0,0.0,1.0,100.0,47
377,0,0,0,1,1,0.0,1.0,100.0,47
378,0,0,0,2,2,0.0,1.0,100.0,47
379,0,0,0,2,3,0.0,1.0,100.0,47
380,0,0,0,3,4,0.0,1.0,100.0,47
381,1,0,1,3,5,0.0,1.0,100.0,47
382,0,0,0,3,6,0.0,1.0,100.0,47
383,-1,1,0,3,7,0.0,1.0,100.0,47
384,50,50,100,1,0,0.0,1.0,100.0,48
385,0,100,100,1,1,0.0,1.0,100.0,48
386,-48,50,2,2,2,0.0,1.0,100.0,48
387,-1,16,15,2,3,0.0,1.0,100.0,48
388,50,50,100,3,4,0.0,1.0,100.0,48
389,35,15,50,3,5,0.0,1.0,100.0,48
390,80,20,100,3,6,0.0,1.0,100.0,48
391,-18,18,0,3,7,0.0,1.0,100.0,48
392,0,100,100,1,0,0.0,1.0,100.0,49
393,0,100,100,1,1,0.0,1.0,100.0,49
394,16,34,50,2,2,0.0,1.0,100.0,49
395,88,12,100,2,3,0.0,1.0,100.0,49
396,28,72,100,3,4,0.0,1.0,100.0,49
397,70,30,100,3,5,0.0,1.0,100.0,49
398,0,100,100,3,6,0.0,1.0,100.0,49
399,100,0,100,3,7,0.0,1.0,100.0,49
400,0,100,100,1,0,0.0,1.0,100.0,50
401,0,100,100,1,1,0.0,1.0,100.0,50
402,100,0,100,2,2,0.0,1.0,100.0,50
403,97,3,100,2,3,0.0,1.0,100.0,50
404,10,90,100,3,4,0.0,1.0,100.0,50
405,100,0,100,3,5,0.0,1.0,100.0,50
406,99,1,100,3,6,0.0,1.0,100.0,50
407,75,25,100,3,7,0.0,1.0,100.0,50
408,25,75,100,1,0,0.0,1.0,100.0,51
409,0,100,100,1,1,0.0,1.0,100.0,51
410,87,13,100,2,2,0.0,1.0,100.0,51
411,100,0,100,2,3,0.0,1.0,100.0,51
412,51,49,100,3,4,0.0,1.0,100.0,51
413,100,0,100,3,5,0.0,1.0,100.0,51
414,19,81,100,3,6,0.0,1.0,100.0,51
415,100,0,100,3,7,0.0,1.0,100.0,51
